	CMHAMM10	CMKALA03	CMLILLIW11	CMSHERW94F	CMSHERW94S	CMSKOO10	CMSNOH10	CMSQUA10	CMSTILL10	CMUW10
CMHAMM10		0.0236888	0.0206409	0.0194664	0.0206419	0.0228596	0.0216785	0.0254033	0.0235585	0.0267133
CMKALA03			0.0171112	0.0154997	0.0168071	0.0176199	0.0176392	0.0211319	0.0187161	0.0214311
CMLILLIW11				0.0114253	0.0128006	0.0171365	0.0156482	0.0188517	0.0170949	0.017813
CMSHERW94F					0.00629458	0.0133354	0.0151945	0.0167472	0.015877	0.0163481
CMSHERW94S						0.0144977	0.0169071	0.0181922	0.0175478	0.0174933
CMSKOO10							0.0184488	0.0231596	0.0200358	0.0259951
CMSNOH10								0.0167419	0.0132994	0.0228201
CMSQUA10									0.0179868	0.0273974
CMSTILL10										0.0244528
